State,year,number_breweries,population,residents_per_brewery
WI,2017,261,5792.051,22.191766283524906
WV,2017,27,1817.048,67.29807407407408
WY,2017,39,578.934,14.844461538461537
AK,2018,51,737.438,14.459568627450981
AL,2018,55,4887.871,88.87038181818183
AR,2018,53,3013.825,56.86462264150943
AZ,2018,146,7171.646,49.12086301369863
CA,2018,1236,39557.045,32.004081715210354
CO,2018,500,5695.564,11.391128
CT,2018,124,3572.665,28.811814516129033
DC,2018,13,702.455,54.035000000000004
DE,2018,38,967.171,25.451868421052634
FL,2018,386,21299.325,55.17959844559586
GA,2018,121,10519.475,86.93780991735538
HI,2018,38,1420.491,37.38134210526316
IA,2018,125,3156.145,25.24916
ID,2018,87,1754.208,20.163310344827586
IL,2018,338,12741.08,37.69550295857988
IN,2018,234,6691.878,28.59776923076923
KS,2018,64,2911.505,45.492265625
KY,2018,86,4468.402,51.95816279069768
LA,2018,47,4659.978,99.14846808510639
MA,2018,230,6902.149,30.00934347826087
MD,2018,141,6042.718,42.856156028368794
ME,2018,165,1338.404,8.111539393939394
MI,2018,510,9995.915,19.599833333333336
MN,2018,239,5611.179,23.477736401673642
MO,2018,168,6126.452,36.46697619047619
MS,2018,19,2986.53,157.18578947368422
MT,2018,108,1062.305,9.836157407407407
NC,2018,387,10383.62,26.83105943152455
ND,2018,26,760.077,29.233730769230768
NE,2018,60,1929.268,32.154466666666664
NH,2018,106,1356.458,12.796773584905662
NJ,2018,146,8908.52,61.0172602739726
NM,2018,124,2095.428,16.898612903225807
NV,2018,50,3034.392,60.687839999999994
NY,2018,532,19542.209,36.73347556390977
OH,2018,377,11689.442,31.0064774535809
OK,2018,55,3943.079,71.69234545454546
OR,2018,386,4190.713,10.856769430051813
PA,2018,472,12807.06,27.133601694915253
RI,2018,33,1057.315,32.039848484848484
SC,2018,94,5084.127,54.08645744680852
SD,2018,35,882.235,25.206714285714288
TN,2018,140,6770.01,48.357214285714285
TX,2018,387,28701.845,74.16497416020673
UT,2018,46,3161.105,68.71967391304348
VA,2018,328,8517.685,25.968551829268293
VT,2018,90,626.299,6.9588777777777775
WA,2018,540,7535.591,13.954798148148148
WI,2018,303,5813.568,19.18669306930693
WV,2018,32,1805.832,56.43225
WY,2018,44,577.737,13.130386363636363
