State,year,number_breweries,population,residents_per_brewery
NJ,1995,7,7965.523,1137.931857142857
NM,1995,12,1682.417,140.20141666666666
NV,1995,5,1525.777,305.1554
NY,1995,44,18150.928,412.5210909090909
OH,1995,28,11155.493,398.4104642857143
OK,1995,8,3265.547,408.193375
OR,1995,54,3141.421,58.17446296296296
PA,1995,27,12044.78,446.102962962963
RI,1995,6,989.203,164.86716666666666
SC,1995,11,3699.943,336.35845454545455
TN,1995,13,5241.168,403.1667692307692
TX,1995,48,18679.706,389.16054166666663
UT,1995,13,1976.774,152.05953846153847
VA,1995,12,6601.392,550.116
VT,1995,12,582.827,48.56891666666667
WA,1995,48,5431.024,113.14633333333335
WI,1995,35,5137.004,146.77154285714286
WY,1995,8,478.447,59.805875
AK,1996,11,604.918,54.99254545454546
AL,1996,8,4290.403,536.300375
AR,1996,3,2504.858,834.9526666666667
AZ,1996,17,4432.308,260.724
CA,1996,218,31780.829,145.78361926605504
CO,1996,92,3812.716,41.442565217391305
CT,1996,12,3267.03,272.2525
DC,1996,3,538.273,179.42433333333335
DE,1996,5,727.09,145.418
FL,1996,62,14426.911,232.69211290322582
GA,1996,18,7332.225,407.34583333333336
HI,1996,6,1184.434,197.40566666666666
IA,1996,9,2848.473,316.497
ID,1996,24,1187.706,49.48775
IL,1996,35,11953.003,341.51437142857145
IN,1996,21,5834.908,277.8527619047619
KS,1996,14,2598.266,185.5904285714286
KY,1996,11,3881.051,352.82281818181815
LA,1996,8,4338.763,542.345375
MA,1996,42,6085.393,144.89030952380952
MD,1996,22,5057.142,229.8700909090909
ME,1996,27,1241.436,45.97911111111111
MI,1996,36,9739.184,270.53288888888886
MN,1996,26,4647.723,178.75857692307693
MO,1996,14,5367.888,383.4205714285714
MT,1996,16,876.656,54.791
NC,1996,36,7307.658,202.9905
ND,1996,3,642.858,214.28599999999997
NE,1996,8,1647.657,205.957125
NH,1996,18,1160.768,64.48711111111112
NJ,1996,20,8009.624,400.4812
NM,1996,20,1706.151,85.30755
NV,1996,10,1596.476,159.6476
NY,1996,70,18143.805,259.19721428571427
OH,1996,40,11187.032,279.6758
OK,1996,9,3289.634,365.5148888888889
OR,1996,73,3195.087,43.76831506849315
PA,1996,42,12038.008,286.6192380952381
RI,1996,5,987.858,197.5716
SC,1996,19,3738.974,196.78810526315792
SD,1996,5,730.699,146.13979999999998
TN,1996,15,5313.576,354.2384
TX,1996,63,19006.24,301.68634920634923
UT,1996,15,2022.253,134.81686666666667
VA,1996,17,6665.491,392.08770588235296
VT,1996,20,586.352,29.3176
WA,1996,79,5509.963,69.74636708860758
WI,1996,50,5173.828,103.47656
WV,1996,4,1818.983,454.74575
WY,1996,10,480.085,48.0085
AK,1997,16,608.846,38.052875
AL,1997,8,4320.281,540.035125
AR,1997,4,2524.007,631.00175
