"","STATE","year","bottle_can_production","keg_production","sold_in_brewery","total_production"
"483","MN",2016,305430.57,159728.02,50565.24,515723.83
"484","MO",2016,12567319.73,913652.28,27933.48,13508905.49
"485","MS",2016,8237.78,5060.32,6899.51,20197.61
"486","MT",2016,65207.68,50679.09,30906.36,146793.13
"487","NC",2016,3389539.45,561127.2,106408.5,4057075.15
"488","ND",2016,771.99,1867.45,2809.64,5449.08
"489","NE",2016,13944.91,14472.86,9731.87,38149.64
"490","NH",2016,2837839.95,317004.98,16905.67,3171750.6
"491","NJ",2016,2660433.24,376621.44,35059.6,3072114.28
"492","NM",2016,29126.65,27804.17,14793.89,71724.71
"493","NV",2016,6477.36,8279.46,17457.76,32214.58
"494","NY",2016,7555530.53,566871.56,57825.54,8180227.63
"495","OH",2016,18130886.35,1457112.02,50547.69,19638546.06
"496","OK",2016,8597.36,5642.57,9525.21,23765.14
"497","OR",2016,1124515.37,477381.22,110352.94,1712249.53
"498","PA",2016,3853670.66,1035752.73,55589.65,4945013.04
"499","RI",2016,6646.02,3675.99,5280.88,15602.89
"500","SC",2016,20753.29,13380.82,30163.3,64297.41
"501","SD",2016,935.83,2606.53,3217.49,6759.85
"502","TN",2016,1116453.27,72261.38,35673.47,1224388.12
"503","TX",2016,18582286.52,1073417.23,101466.52,19757170.27
"504","UT",2016,124719.01,54169.39,6283.83,185172.23
"505","VA",2016,11211279.68,1253898.31,68666.78,12533844.77
"506","VT",2016,220195.37,68330.18,13299.51,301825.06
"507","WA",2016,139649.07,251896.07,78538.88,470084.02
"508","WI",2016,9142816.33,1010565.53,55487.79,10208869.65
"509","WV",2016,40.86,3835.3,6766.41,10642.57
"510","WY",2016,6946.93,8328.08,14370.22,29645.23
"511","AK",2017,109652.22,66217.06,15974.1,191843.38
"512","AL",2017,11797.8,8771.22,29160.56,49729.58
"513","AR",2017,8723.15,4824.97,13441.2,26989.32
"514","AZ",2017,66483.94,70469.77,45424.11,182377.82
"515","CA",2017,16705423.6,2178070.92,293554.62,19177049.14
"516","CO",2017,17964522.31,1560670.89,163026.9,19688220.1
"517","CT",2017,123130.64,93599.78,21767.05,238497.47
"518","DC",2017,10449.74,9813.66,11096.42,31359.82
"519","DE",2017,214555.74,74403.02,9254.17,298212.93
"520","FL",2017,9755349.98,1173282.12,122617.24,11051249.34
"521","GA",2017,13440658.34,499930.03,51488.76,13992077.13
"522","HI",2017,30194.62,32067.39,8503.95,70765.96
"523","IA",2017,5108.17,12338,49090.14,66536.31
"524","ID",2017,16421.24,17439.22,9438.59,43299.05
"525","IL",2017,1127874.13,229367.33,104165.94,1461407.4
"526","IN",2017,72637.37,63530.02,42795.43,178962.82
"527","KS",2017,16123.88,10026.43,11772.39,37922.7
"528","KY",2017,115167.63,32458.9,27147.95,174774.48
"529","LA",2017,102647.73,53685.02,16448.69,172781.44
"530","MA",2017,232429.02,162431.53,85176.38,480036.93
"531","MD",2017,109556.2,69714.09,28127.45,207397.74
"532","ME",2017,126135.75,116743.91,36717.92,279597.58
"533","MI",2017,781680.17,347771.21,126317.83,1255769.21
"534","MN",2017,331456.26,159497.56,61178.19,552132.01
"535","MO",2017,12110143.63,840259.38,28606.86,12979009.87
"536","MS",2017,6798.97,4474.17,8898.59,20171.73
"537","MT",2017,67927.38,47842.61,35410.18,151180.17
"538","NC",2017,880391.57,289428.28,122669.87,1292489.72
"539","ND",2017,1480.51,3219.15,5287.38,9987.04
"540","NE",2017,13914.72,13928.55,16999.38,44842.65
"541","NH",2017,2746031.96,292497.8,27295.21,3065824.97
"542","NJ",2017,2439250.35,367964.45,51339.57,2858554.37
"543","NM",2017,38350.28,34733.93,18654.17,91738.38
"544","NV",2017,8418.87,10871.8,14372.05,33662.72
"545","NY",2017,7507875.58,520583.59,78958.19,8107417.36
"546","OH",2017,17733218.04,1383472.57,79394.13,19196084.74
"547","OK",2017,8032.06,5409.25,10922.26,24363.57
"548","OR",2017,1019538.32,643288.16,131075.08,1793901.56
"549","PA",2017,3637399.93,946253.9,69737.43,4653391.26
"550","RI",2017,16985.26,7854.41,6891.13,31730.8
"551","SC",2017,20894.82,20748.53,30800.78,72444.13
"552","SD",2017,1132.85,3319.71,6582.66,11035.22
"553","TN",2017,1307141.77,64760.02,39494.25,1411396.04
"554","TX",2017,18110667.95,1057055.7,143879.86,19311603.51
"555","UT",2017,126456.78,54184.15,8391.41,189032.34
"556","VA",2017,12678626.95,1463360.4,114900.37,14256887.72
"557","VT",2017,208884.06,64791.32,20568.82,294244.2
"558","WA",2017,142440.45,222188.23,97744.72,462373.4
"559","WI",2017,9189949.38,1093376.11,68905.03,10352230.52
"560","WV",2017,15.6,3564.32,8218.02,11797.94
"561","WY",2017,7393.61,8312.15,27214.46,42920.22
"562","AK",2018,100038.94,62922.15,30620.23,193581.32
"563","AL",2018,14241.33,9873.67,41718.66,65833.66
"564","AR",2018,1668.5,1623.57,25150.46,28442.53
"565","AZ",2018,56861.38,71892.05,47009.71,175763.14
"566","CA",2018,16122748.84,2054263.98,359636.06,18536648.88
"567","CO",2018,16457400.82,1598523.94,176577.49,18232502.25
"568","CT",2018,117099.4,50128.49,26871.86,194099.75
"569","DC",2018,11505.98,8975.52,10027.41,30508.91
"570","DE",2018,217018.27,68113.87,13816.8,298948.94
"571","FL",2018,9944711.04,1211791.38,138723.04,11295225.46
"572","GA",2018,13665906.76,460632.48,51856.22,14178395.46
"573","HI",2018,34458.29,34821.42,12037.94,81317.65
"574","IA",2018,10200.98,9353.45,74918.83,94473.26
"575","ID",2018,14567.03,15268.86,12906.99,42742.88
"576","IL",2018,1209497.06,219382.35,134257.55,1563136.96
"577","IN",2018,68032.19,56023.45,49318.85,173374.49
"578","KS",2018,6626.39,6342.37,12510.22,25478.98
"579","KY",2018,129683.59,28653.06,27648.33,185984.98
"580","LA",2018,97625.45,48367.7,24619.93,170613.08
